Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,Taufkirchen,68,Moderate,1,Good,64,Moderate,0,Good,68,Moderate
United States of America,University Park,74,Moderate,1,Good,74,Moderate,2,Good,24,Good
Mexico,Valle Hermoso,35,Good,1,Good,30,Good,0,Good,35,Good
Switzerland,Vevey,54,Moderate,1,Good,41,Good,0,Good,54,Moderate
Bangladesh,Netrakona,60,Moderate,1,Good,42,Good,0,Good,60,Moderate
Poland,Nowa Ruda,74,Moderate,1,Good,39,Good,1,Good,74,Moderate
Italy,Misterbianco,56,Moderate,1,Good,45,Good,1,Good,56,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
United States of America,Montgomery,65,Moderate,3,Good,11,Good,12,Good,65,Moderate
Indonesia,Metro,63,Moderate,1,Good,39,Good,0,Good,63,Moderate
Poland,Gliwice,61,Moderate,1,Good,44,Good,1,Good,61,Moderate
Denmark,Grenaa,47,Good,1,Good,47,Good,0,Good,12,Good
Italy,Grottaglie,65,Moderate,1,Good,65,Moderate,0,Good,64,Moderate
Russian Federation,Gulkevichi,48,Good,1,Good,48,Good,0,Good,23,Good
Russian Federation,Gvardeysk,35,Good,1,Good,35,Good,0,Good,21,Good
United States of America,Hartselle,52,Moderate,1,Good,52,Moderate,1,Good,49,Good
Japan,Hashimoto,63,Moderate,1,Good,27,Good,6,Good,63,Moderate
Netherlands,Hengelo,38,Good,1,Good,38,Good,0,Good,32,Good
Netherlands,Hilvarenbeek,44,Good,1,Good,39,Good,1,Good,44,Good
Tajikistan,Hisor,144,Unhealthy for Sensitive Groups,1,Good,26,Good,1,Good,144,Unhealthy for Sensitive Groups
Italy,Ispica,52,Moderate,1,Good,47,Good,1,Good,52,Moderate
Guatemala,Joyabaj,46,Good,1,Good,24,Good,0,Good,46,Good
Malaysia,Juru,150,Unhealthy,3,Good,27,Good,9,Good,150,Unhealthy
United States of America,Keene,36,Good,1,Good,36,Good,0,Good,33,Good
Turkey,Keskin,45,Good,1,Good,45,Good,0,Good,31,Good
France,Lingolsheim,52,Moderate,2,Good,29,Good,4,Good,52,Moderate
Germany,Linnich,50,Good,1,Good,31,Good,3,Good,50,Good
United States of America,Lunenburg,68,Moderate,2,Good,13,Good,14,Good,68,Moderate
Sri Lanka,Maharagama,67,Moderate,0,Good,22,Good,0,Good,67,Moderate
United Kingdom of Great Britain and Northern Ireland,Maidenhead,27,Good,1,Good,23,Good,5,Good,27,Good
Germany,Marktheidenfeld,62,Moderate,1,Good,36,Good,3,Good,62,Moderate
Italy,Melfi,50,Good,1,Good,43,Good,2,Good,50,Good
United States of America,Melvindale,34,Good,1,Good,33,Good,5,Good,34,Good
Switzerland,Langenthal,52,Moderate,1,Good,21,Good,3,Good,52,Moderate
China,Lanxi,145,Unhealthy for Sensitive Groups,3,Good,145,Unhealthy for Sensitive Groups,1,Good,103,Unhealthy for Sensitive Groups
China,Lanxi,145,Unhealthy for Sensitive Groups,3,Good,145,Unhealthy for Sensitive Groups,1,Good,103,Unhealthy for Sensitive Groups
Italy,Lavello,52,Moderate,1,Good,44,Good,2,Good,52,Moderate
United States of America,Liberty,55,Moderate,1,Good,33,Good,5,Good,55,Moderate
United States of America,Liberty,55,Moderate,1,Good,33,Good,5,Good,55,Moderate
South Africa,Kirkwood,83,Moderate,2,Good,13,Good,3,Good,83,Moderate
Serbia,Kragujevac,57,Moderate,1,Good,38,Good,0,Good,57,Moderate
Germany,Kreuzau,55,Moderate,1,Good,31,Good,3,Good,55,Moderate
India,Krishnanagar,161,Unhealthy,4,Good,147,Unhealthy for Sensitive Groups,2,Good,161,Unhealthy
Czechia,Krupka,74,Moderate,1,Good,37,Good,2,Good,74,Moderate
,La Maddalena,39,Good,1,Good,30,Good,3,Good,39,Good
United States of America,North Platte,58,Moderate,1,Good,28,Good,2,Good,58,Moderate
United States of America,Newburyport,56,Moderate,2,Good,22,Good,10,Good,56,Moderate
United States of America,Niagara Falls,42,Good,1,Good,28,Good,5,Good,42,Good
United States of America,Niagara Falls,42,Good,1,Good,28,Good,5,Good,42,Good
Mali,Mopti,96,Moderate,1,Good,17,Good,1,Good,96,Moderate
Germany,Saarwellingen,65,Moderate,1,Good,54,Moderate,0,Good,65,Moderate
Italy,Maddaloni,69,Moderate,1,Good,69,Moderate,0,Good,56,Moderate
Equatorial Guinea,Malabo,32,Good,1,Good,22,Good,0,Good,32,Good
Brazil,Conchal,62,Moderate,1,Good,24,Good,1,Good,62,Moderate
United States of America,Corona,93,Moderate,3,Good,20,Good,19,Good,93,Moderate
,Corpus Christi,40,Good,0,Good,27,Good,0,Good,40,Good
Australia,Cranbourne,50,Good,1,Good,7,Good,17,Good,50,Good
Brazil,Cunha,38,Good,1,Good,23,Good,0,Good,38,Good
Brazil,Currais Novos,24,Good,0,Good,24,Good,0,Good,19,Good
France,Ploufragan,48,Good,1,Good,37,Good,2,Good,48,Good
United States of America,Prattville,50,Good,2,Good,50,Good,4,Good,47,Good
Argentina,Rafaela,24,Good,0,Good,24,Good,0,Good,9,Good
Italy,San Severino Marche,71,Moderate,1,Good,50,Good,0,Good,71,Moderate
Peru,Saposoa,39,Good,1,Good,6,Good,0,Good,39,Good
Russian Federation,Chelyabinsk,33,Good,1,Good,33,Good,1,Good,22,Good
United States of America,Christiansburg,59,Moderate,2,Good,33,Good,5,Good,59,Moderate
United Kingdom of Great Britain and Northern Ireland,Cramlington,49,Good,1,Good,22,Good,8,Good,49,Good
India,Curti,83,Moderate,0,Good,22,Good,0,Good,83,Moderate
India,Ahmadpur,172,Unhealthy,2,Good,39,Good,2,Good,172,Unhealthy
United States of America,Algonquin,52,Moderate,1,Good,32,Good,3,Good,52,Moderate
Argentina,Alta Gracia,34,Good,1,Good,34,Good,1,Good,28,Good
Turkey,Ankara,44,Good,1,Good,44,Good,0,Good,36,Good
India,Ankola,45,Good,1,Good,19,Good,1,Good,45,Good
Brazil,Aracruz,50,Good,0,Good,28,Good,0,Good,50,Good
Brazil,Areado,44,Good,1,Good,22,Good,0,Good,44,Good
Germany,Eschweiler,52,Moderate,1,Good,36,Good,2,Good,52,Moderate
Germany,Ettlingen,45,Good,1,Good,34,Good,4,Good,45,Good
United States of America,Eunice,70,Moderate,1,Good,19,Good,3,Good,70,Moderate
China,Ezhou,187,Unhealthy,4,Good,187,Unhealthy,3,Good,147,Unhealthy for Sensitive Groups
Germany,Damme,34,Good,0,Good,34,Good,1,Good,16,Good
